S.No,Product_name,Selling_price,Original_price,Ratings_count,Reviews_count,Display,Camera,Processor,Warranty,Battery,Info,RAM,ROM,Is_Expandable,Expandable_Upto,Colours,Discount,Warranty Status
119,Apple iPhone 6s Plus,59999,82000,18743,2352,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,,,64 GB,No,,"Gold, Rose Gold, Silver, Space Grey",26.8,YES
120,Apple iPhone 15 Pro,184900,,3141,160,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,1 TB,No,,"Black Titanium, Blue Titanium, Natural Titanium, White Titanium",No discount,YES
121,Apple iPhone 14 Pro,129900,,2198,151,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Deep Purple, Gold, Silver, Space Black",No discount,YES
122,Apple iPhone 13 Pro Max,179900,,2088,192,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,1 TB,No,,"Aline Green, Gold, Graphite, Sierra Blue, Silver",No discount,YES
123,Apple iPhone 15 Pro,164900,,3141,160,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,512 GB,No,,"Black Titanium, Blue Titanium, Natural Titanium, White Titanium",No discount,YES
124,Apple iPhone 6s Plus,49999,72000,18743,2352,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,,,16 GB,No,,"Gold, Rose Gold, Silver, Space Grey",30.6,YES
125,Apple iPhone SE,39900,,154612,11948,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,,,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",,64 GB,No,,"Black, Red, White",No discount,Warranty Not available
126,Apple iPhone 11,48900,,206532,11366,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Black, Green, Purple, Red, White, Yellow",No discount,YES
127,Apple iPhone 14 Pro Max,144900,,2408,165,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Deep Purple, Gold, Silver, Space Black",No discount,YES
128,Apple iPhone 15 Pro,134900,,3141,160,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Black Titanium, Blue Titanium, Natural Titanium, White Titanium",No discount,YES
129,Apple iPhone XS Max,109900,,1443,145,16.51 cm (6.5 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor,,,iOS 13 Compatible,,64 GB,No,,"Gold, Silver, Space Grey",No discount,Warranty Not available
130,Apple iPhone 14 Pro,149900,,2198,151,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,512 GB,No,,"Deep Purple, Gold, Silver, Space Black",No discount,YES
131,Apple iPhone XR,91900,,100802,8455,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Brand Warranty of 1 Year,,,,256 GB,No,,"Black, Blue, Coral, White, Yellow",No discount,YES
132,Apple iPhone 14 Pro,119900,,2198,151,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Deep Purple, Gold, Silver, Space Black",No discount,YES
133,Apple iPhone 14 Pro Max,134900,,2408,165,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Deep Purple, Gold, Silver, Space Black",No discount,YES
134,Apple iPhone 13 mini,64900,,3861,330,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Blue, Green, Midnight, Pink, Starlight",No discount,YES
135,Apple iPhone 6 Plus,48999,71500,1674,197,13.97 cm (5.5 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera,A8 Chip with 64-bit Architecture and M8 Motion Co-processor,1 Year Manufacturer Warranty,,,,64 GB,No,,"Gold, Silver, Space Grey",31.5,YES
136,Apple iPhone 12 Pro Max,119900,,1276,100,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,,,Ceramic Shield | Industry-leading IP68 Water Resistance,,128 GB,No,,"Gold, Graphite, Pacific Blue, Silver",No discount,Warranty Not available
137,Apple iPhone XS,103900,,11906,861,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Gold, Silver, Space Grey",No discount,YES
138,Apple iPhone 6 Plus,80500,,1674,197,13.97 cm (5.5 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera,A8 Chip with 64-bit Architecture and M8 Motion Co-processor,1 Year Manufacturer Warranty,,,,128 GB,No,,"Gold, Silver, Space Grey",No discount,YES
139,Apple iPhone XS Max,124900,,1443,145,16.51 cm (6.5 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor,,,iOS 13 Compatible,,256 GB,No,,"Gold, Silver, Space Grey",No discount,Warranty Not available
140,Apple iPhone SE 3rd Gen,62600,,1426,137,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Midnight, Product, Starlight",No discount,YES
141,Apple iPhone XS Max,144900,,1443,145,16.51 cm (6.5 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor,1 Year Limited Warranty for Products and Accessories,,,,512 GB,No,,"Gold, Silver, Space Grey",No discount,YES
142,Apple iPhone 8,81500,,114,10,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",Brand Warranty of 1 Year,,,,256 GB,No,,PRODUCT,No discount,YES
143,Apple iPhone 5s,14999,35000,62656,7261,10.16 cm (4 inch) Retina Display,8MP Rear Camera | 1.2MP Front Camera,Apple A7 64-bit processor and M7 Motion Co-processor,1 Year for Mobile & Accessories,,,,16 GB,No,,"Gold, Silver, Space Grey",57.1,YES
144,Apple iPhone 6s,29900,29990,92796,9130,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 64-bit processor and Embedded M9 Motion Co-processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,32 GB,No,,"Gold, Rose Gold, Silver, Space Grey",0.3,YES
145,Apple iPhone 14 Pro Max,184900,,2408,165,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,1 TB,No,,"Deep Purple, Gold, Silver, Space Black",No discount,YES
146,Apple iPhone 15 Pro Max,159900,,2829,196,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Black Titanium, Blue Titanium, Natural Titanium, White Titanium",No discount,YES
147,Apple iPhone 6s,55999,60000,92796,9130,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,,,128 GB,No,,"Gold, Rose Gold, Silver",6.7,YES
148,Apple iPhone 7 Plus,85400,92000,29728,2964,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,,,,256 GB,No,,"Black, Gold, Jet Black, PRODUCT, Rose Gold, Silver",7.2,YES
149,Apple iPhone 14 Pro Max,164900,,2408,165,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,512 GB,No,,"Deep Purple, Gold, Silver, Space Black",No discount,YES
150,Apple iPhone 5C,41900,,1320,265,10.16 cm (4 inch) Retina Display,8MP Rear Camera | 1.2MP Front Camera,A6 Chip Processor,1 Year Manufacturer Warranty,,,,16 GB,No,,"Blue, Green",No discount,YES
151,Apple iPhone 5C,53500,,1320,265,10.16 cm (4 inch) Retina Display,8MP Rear Camera | 1.2MP Front Camera,A6 Chip Processor,1 Year Manufacturer Warranty,,,,32 GB,No,,White,No discount,YES
152,Apple iPhone 6s Plus,70000,,18743,2352,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,,,128 GB,No,,"Rose Gold, Silver",No discount,YES
153,IAIR S50 Dual Sim Keypad Phone | 2800 mAH Battery & Big 2.4 Inch Display,899,2199,598,144,6.1 cm (2.4 inch) Full HD Display,0.8MP Rear Camera,,1 Years Manufacturer Warranty,2800 mAh Battery,,32 MB,32 MB,Yes,32 MB,,59.1,YES
154,Easyfone Star,4990,,1374,213,4.32 cm (1.7 inch) QVGA Display,,,,800 mAh Lithium-ion Battery,Outgoing & Incoming Calls to Preset Numbers Only  | GPS for Location Tracking,32 MB,32 MB,Yes,8 GB,,No discount,Warranty Not available
155,Snexan New Rock Bold T17 Pro Ultra HD Screen | Premium Design SmartPhone,7599,9999,5,1,16.97 cm (6.68 inch) Display,13MP Rear Camera,,1 Month WARRANTY,4000 mAh Battery,,3 GB,32 GB,No,,"Blue, Orange, White",24,YES
156,Lvix L1 17Pro,6608,12999,,,11.43 cm (4.5 inch) FWVGA Display,16MP Rear Camera,MediaTek Processor,,3200 mAh Battery,,3 GB,32 GB,Yes,16 GB,Blue,49.2,Warranty Not available
157,IAIR D50 Dual Sim Keypad Phone | 2800 mAH Battery & Big 1.77 Inch Display,749,1599,91,25,4.5 cm (1.77 inch) Display,0.8MP Rear Camera,,1 Year manufacturer warranty,2800 mAh Battery,,32 MB,32 MB,Yes,32 GB,,53.2,YES
158,Lvix L1 17 Pro,6608,12999,,,11.43 cm (4.5 inch) HD Display,16MP + 16MP,,1 Year Domestic services,3200 mAh Battery,,3 GB,32 GB,Yes,32 GB,Orange,49.2,YES
159,IAIR D12New Dual Sim Keypad Phone | 1800 mAH Battery & Big 1.7 Inch Display,715,1549,134,42,4.5 cm (1.77 inch) Full HD Display,0.8MP Rear Camera,,1 Years Manufacturer Warranty,2800 mAh Battery,,32 MB,32 MB,Yes,32 MB,,53.8,YES
160,IAIR D10 Mini Dual Sim Keypad Phone | 1800 mAH Battery & Big 1.7 Inch Display,737,1549,221,64,4.5 cm (1.77 inch) Display,0.8MP + 0.8MP,,1 Years Manufacturer Warranty,1800 mAh Battery,,32 MB,32 MB,Yes,32 GB,,52.4,YES
161,Amozkart T400 3 in 1 Combo Pack with Smartphone Smartwatch With Earbuds,5986,8999,9,0,10.16 cm (4 inch) Display,5MP Rear Camera,,1 Year Domestic Warranty,2000 mAh Battery,,2 GB,16 GB,No,,Gold,33.5,YES
162,"Vox V17 - Keypad Mobile Phone with FM Radio, Mp3 Player",681,999,4,0,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,,1 Year Manufacturing Warranty for Handset and 6 Month on Accessories,1000 mAh Battery,,32 MB,32 MB,Yes,8 GB,,31.8,YES
163,IAIR D50 2G Dual Sim Basic Mobile Phone With MP3 with Recording Keypad Phone,848,1599,60,12,4.5 cm (1.77 inch) Full HD Display,0.8MP Rear Camera,,1 Years Manufacturer Warranty,2800 mAh Battery,,32 MB,32 MB,Yes,32 MB,,47,YES
164,"Vox V17 New - Keypad Mobile Phone with 1.8"" display, FM Radio, Mp3 Player",655,999,7,0,4.57 cm (1.8 inch) Display,0.3MP + 0.3MP,,1 Year Manufacturing Warranty for Handset and 6 Month on Accessories,1000 mAh Battery,,32 MB,32 MB,Yes,8 GB,,34.4,YES
165,IAIR D17 Dual Sim Keypad Phone | 1200 mAH Battery & Big 1.88 Inch Display,689,1299,44,9,4.78 cm (1.88 inch) Full HD Display,0.8MP + 0.8MP,,1 Years Manufacturer Warranty,1200 mAh Battery,,32 MB,32 MB,Yes,32 MB,,47,YES
166,IAIR D25 Dual Sim Keypad Phone | 1200 mAH Battery & Big 1.88 Inch Display,770,1699,55,19,4.32 cm (1.7 inch) Display,0.8MP Rear Camera,,2 Years Manufacturer Warranty,1200 mAh Battery,,32 MB,32 MB,No,,,54.7,YES
167,"Vox V17 - Multimedia Keypad Mobile Phone with 1.8"" display, 1000mAh Battery",678,999,5,0,4.57 cm (1.8 inch) Display,1MP Rear Camera,,One year manufacturers defects warranty,1000 mAh Battery,,32 MB,32 MB,Yes,8 GB,,32.1,YES
168,Snexian Rock,1399,1999,9268,523,4.32 cm (1.7 inch) Display,0.3MP Rear Camera,,1 Year Warranty,800 mAh Battery,,32 MB,32 MB,No,,,30,YES
169,Mi 10i,17999,26999,3248,240,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP + 2MP | 16MP Front Camera,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4820 mAh Battery,,6 GB,128 GB,No,,"Atlantic Blue, Midnight Black, Pacific Sunrise",33.3,YES
170,HTC Desire 620G Dual Sim,7999,17900,10104,908,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,Mediatek MT6592 Processor,,2100 mAh Li-Polymer Battery,,1 GB,8 GB,Yes,32 GB,Santorini White,55.3,Warranty Not available
171,IAIR D11 Dual Sim Keypad Phone | 2800 mAH Battery & Big 1.77 Inch Display,749,1149,11,0,4.32 cm (1.7 inch) Display,0.8MP Rear Camera,,2 Years Manufacturer Warranty,0.8 mAh Battery,,32 MB,32 MB,Yes,32 GB,,34.8,YES
172,BlackBear A1 Aura,799,1499,666,79,4.32 cm (1.7 inch) VGA Display,2.4MP Rear Camera,,1 Year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries form the date of purchase,2500 mAh Battery,,32 MB,64 MB,No,,,46.7,YES
173,Snexian BOLD T400,4754,5999,84,8,10.16 cm (4 inch) Display,5MP Rear Camera,,1 Year Domestic Warranty,2000 mAh Battery,,2 GB,16 GB,No,,Black,20.8,YES
174,IAIR Keypad Mobile Basic Small Feature Phone X2,899,1099,,,4.32 cm (1.7 inch) Display,0.8MP Rear Camera,,1 Year Manufacturing Warranty,1000 mAh Battery,,32 MB,32 MB,No,,,18.2,YES
175,4i,10999,12999,872,75,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,,,3030 mAh Li-ion Polymer Battery,,2 GB,16 GB,No,,Yellow,15.4,Warranty Not available
176,Mi 4i,10999,12999,80010,8670,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,2nd-gen Snapdragon 615 64-bit octa-core Processor,,3030 mAh Li-ion Polymer Battery,,2 GB,16 GB,No,,White,15.4,Warranty Not available
177,IAIR D17 Dual Sim Keypad Mobile Phone | 1200 mAH Battery and 1.88 Inch Big Display,672,1299,21,9,4.78 cm (1.88 inch) Display,0.8MP Rear Camera,,1 Years Manufacturer Warranty,1200 mAh Battery,,32 MB,32 MB,No,,,48.3,YES
178,Mi 4i,14999,,80010,8670,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,2nd-gen Snapdragon 615 64-bit octa-core Processor,,3120 mAh Li-ion Polymer Battery,,2 GB,32 GB,No,,Grey,No discount,Warranty Not available
179,HTC Desire 626G Plus,8999,11990,5962,561,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,ARM Cortex-A53 Octa Core 1.7GHz Processor,,2000 mAh Li-Polymer Battery,,1 GB,8 GB,Yes,32 GB,"Blue Lagoon, White Birch",24.9,Warranty Not available
180,ASUS Zenfone Selfie,17999,,26980,5102,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 13MP Front Camera,Qualcomm Snapdragon 615 MSM8939 Processor,,3000 mAh Li-Polymer Battery,,3 GB,32 GB,Yes,128 GB,"Aqua Blue, Pink, White",No discount,Warranty Not available
181,ASUS Zenfone Selfie,15999,,6683,871,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 13MP Front Camera,Qualcomm Snapdragon 615 MSM8939 Processor,,3000 mAh Li-Polymer Battery,,2 GB,16 GB,Yes,128 GB,White,No discount,Warranty Not available
