S.No,Product_name,Selling_price,Original_price,Ratings_count,Reviews_count,Display,Camera,Processor,Warranty,Battery,Info,RAM,ROM,Is_Expandable,Expandable_Upto,Colours,Discount,Warranty Status
52,Banety Metro mobile,816,1999,,,4.32 cm (1.7 inch) Display,0.3MP Rear Camera,,,1000 mAh Battery,,10 MB,10 MB,No,,,59.2,Warranty Not available
53,IAIR Keypad Mobile Basic Small Feature Phone X4,999,1999,,,4.32 cm (1.7 inch) Display,0.8MP Rear Camera,,1 Year Manufacturing Warranty,1200 mAh Battery,,32 MB,32 MB,No,,,50,YES
54,Banety 105ss,769,1499,,,4.32 cm (1.7 inch) Display,,,,800 mAh Battery,,10 MB,10 MB,No,,,48.7,Warranty Not available
55,IAIR Keypad Mobile Basic Small Feature Phone X8,849,1999,,,4.32 cm (1.7 inch) Display,0.8MP Rear Camera,,1 Year manufacturing warranty,1200 mAh Battery,,32 MB,32 MB,No,,,57.5,YES
56,IAIR D8 Keypad Mobile Basic Small Feature Phone,999,1599,,,4.32 cm (1.7 inch) Display,0.8MP Rear Camera,,1 Year Manufacturing warranty,2800 mAh Battery,,32 MB,32 MB,No,,,37.5,YES
57,Peace NOVA 2,652,999,,,4.32 cm (1.7 inch) Display,0.3MP + 0.3MP | 2MP Dual Front Camera,,1 year Brand Warranty,850 mAh Battery,,32 MB,32 MB,No,,,34.7,YES
58,REDMI Note 10 Pro Max,13999,22999,18060,1299,16.94 cm (6.67 inch) Full HD+ Display,108MP Rear Camera | 16MP Front Camera,Qualcomm Snapdragon 732G Processor,,5020 mAh Battery,,6 GB,128 GB,Yes,512 GB,"Dark Nebula, Dark Night, Vintage Bronze",39.1,Warranty Not available
59,ASUS Zenfone Max Pro M1,17999,,175199,25841,15.21 cm (5.99 inch) Full HD+ Display,16MP + 5MP | 16MP Front Camera,Qualcomm Snapdragon 636 Octa Core Processor,,5000 mAh Battery,,6 GB,64 GB,Yes,2 TB,"Black, Blue, Grey",No discount,Warranty Not available
60,HTC Desire 526G Plus,9900,,10274,875,11.94 cm (4.7 inch) quarter HD Display,8MP Rear Camera | 2MP Front Camera,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,2000 mAh Battery,,1 GB,16 GB,Yes,32 GB,"Fervor Red, Glacier Blue, Glossy Black",No discount,YES
61,Apple iPhone 5C,37500,,1320,265,10.16 cm (4 inch) Retina Display,8MP Rear Camera | 1.2MP Front Camera,A6 Chip Processor,1 Year Manufacturer Warranty,,,,8 GB,No,,"Blue, Green, Pink, White, Yellow",No discount,YES
62,Apple iPhone 13 Pro,149900,,1596,120,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,512 GB,No,,"Alpine Green, Gold, Graphite, Sierra Blue, Silver",No discount,YES
63,Apple iPhone XR,47900,,100802,8455,15.5 cm (6.102 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,,,iOS 13 Compatible,,64 GB,No,,"Black, Blue, Coral, White, Yellow",No discount,Warranty Not available
